ID TWEET	Country Profile	City Profile	Address Real	Status
1175542732711964674	United Kingdom	Ballymena	24 Bridge St, Ballymena BT43 5EW, UK	Tweet do mesmo local
1175542778857775104	Chile	Los Ángeles	Unnamed Road, Los Ángeles, Región del Bío Bío, Chile	Tweet do mesmo local
1175542820767260680	United States	Ocala	8602 SW State Rd 200, Ocala, FL 34481, USA	Tweet do mesmo local
1175542829164220417	日本	大田区	Ōmori Station, 1-chōme-6 Ōmorikita, Ota City, Tōkyō-to 143-0016, Japan	Tweet de Local diferente
1175542833371123712	United States	Lompoc	418 E College Ave, Lompoc, CA 93436, USA	Tweet do mesmo local
1175542845933047811	Chile	Los Ángeles	Unnamed Road, Los Ángeles, Región del Bío Bío, Chile	Tweet do mesmo local
1175542879504277509	United States	Ohio	1570 Rohr Rd, Lockbourne, OH 43137, USA	Tweet do mesmo local
1175542967601389569	日本	大月市	1-chōme-1-32 Ōtsuki, Otsuki, Yamanashi 401-0013, Japan	Tweet de Local diferente
1175543282144878592	United States	Brooklyn	319 37th St, Brooklyn, NY 11232, USA	Tweet do mesmo local
1175543487682535424	日本	浦安市	Japan, 〒279-0031 Chiba, Urayasu, Maihama, １−１ 東京ディズニーシー ミステリアスアイランド	Tweet de Local diferente
1175543521215778817	Brasil	São Paulo	Sé - Praça da Sé - Sé, São Paulo - SP, 01001-000, Brazil	Tweet do mesmo local
1175544565601918976	United States	Wayne	3716 Newberry St, Wayne, MI 48184, USA	Tweet do mesmo local
1175544955701538821	日本	登米市	Yanaizu Station, Yagi Tsuyamachō Yanaizu, Tome, Miyagi 986-0401, Japan	Tweet de Local diferente
1175544997644578821	España	Barcelona	Av. Francesc Ferrer i Guàrdia, 669, 08038 Barcelona, Spain	Tweet do mesmo local
1175545052141162496	United States	Boise	109 S 6th St, Boise, ID 83702, USA	Tweet do mesmo local
1175545177991262208	日本	浦安市	Japan, 〒279-0031 Chiba, Urayasu, Maihama, １−１ 東京ディズニーシー ミステリアスアイランド	Tweet de Local diferente
1175545198941749249	Brasil	Recife	Praça Rio Branco, 252 - Recife, PE, 50020-360, Brazil	Tweet do mesmo local
1175545396099244032	United States	Manhattan	47 5th Ave, New York, NY 10003, USA	Tweet do mesmo local
1175545496733175809	United States	Georgia	3650 Satellite Blvd, Duluth, GA 30096, USA	Tweet do mesmo local
1175545584817717248	United States	Memphis	714 N Germantown Pkwy, Cordova, TN 38018, USA	Tweet do mesmo local
1175545731630940160	United States	West Jordan	2660 W 7000 S, West Jordan, UT 84084, USA	Tweet do mesmo local
1175545928750641152	Brasil	Blumenau	R. Alberto Stein, 199 - Velha, Blumenau - SC, 89036-200, Brazil	Tweet do mesmo local
1175546067183554560	台灣	台中市	No. 13-1, Lane 75, Taiping Road, North District, Taichung City, Taiwan 404	Tweet do mesmo local
1175546381756510209	United States	Inverness	1012 W Main St, Inverness, FL 34450, USA	Tweet do mesmo local
